file,level,abs_comp_ratio,rel_comp_ratio,rel_comp_time
xml,1,0.17653181872605364,0.9744192386491309,0.7379032258064516
xml,2,0.16029019995210728,0.9618891195327945,0.7113821138211383
xml,3,0.15089069234913793,0.9759259192037258,0.6211453744493393
xml,4,0.14216972731082375,0.9368891223086862,0.6030927835051546
xml,5,0.13514184476772031,0.9834706580695755,0.5144508670520231
xml,6,0.1292961266762452,0.9971806925050283,0.45454545454545453
xml,7,0.1260319384578544,0.9924528468663035,0.5046728971962616
xml,8,0.13196651999521072,1.061626909474001,1.7142857142857142
xml,9,0.12711083423132183,1.0234764060988946,2.125
mr,1,0.37614903229145313,0.9801621608624884,0.5989010989010989
mr,2,0.37000996132214786,0.971355961746162,0.6089743589743589
mr,3,0.3665088554669525,0.9942150359006225,0.48484848484848486
mr,4,0.3640789026578637,0.9862624248261509,0.6090909090909091
mr,5,0.3680657383072813,0.991964698409266,0.3894736842105263
mr,6,0.3667559829112977,0.994665669307402,0.28
mr,7,0.36597819341012205,0.9935632291569382,0.3090909090909091
mr,8,0.3573432756662512,0.9724449980785355,0.42857142857142855
mr,9,0.34768996016674686,0.946146325966489,0.47058823529411764
x-ray,1,0.7084532654255721,0.9942839795916508,0.5660377358490566
x-ray,2,0.7078871969639755,0.9994505260155438,0.5288461538461539
x-ray,3,0.7078789366362057,1.004478405945354,0.4423076923076923
x-ray,4,0.7078787006268409,0.984483562219363,0.3619047619047619
x-ray,5,0.7068807350275659,0.9890969896020827,0.3522727272727273
x-ray,6,0.7068789649573295,0.9904451848116335,0.3333333333333333
x-ray,7,0.7068789649573295,0.9904545193752704,0.32954545454545453
x-ray,8,0.6991255853032249,0.9795909121572912,0.8285714285714286
x-ray,9,0.6866247592704479,0.9620751813163774,1.0357142857142858
webster,1,0.33451750769916755,0.9236776814479122,0.574585635359116
webster,2,0.32173483574727363,0.9341803447921339,0.5859872611464968
webster,3,0.31475410603172993,0.9550531437029881,0.5036496350364964
webster,4,0.3080612049055177,0.9797753143426666,0.5603448275862069
webster,5,0.29976357436941525,0.9956462639097597,0.46875
webster,6,0.2962063719166516,1.0021901506468154,0.3924050632911392
webster,7,0.29391155820769405,1.0011794587340213,0.43103448275862066
webster,8,0.2901703171949204,0.9929496123314391,1.1176470588235294
webster,9,0.2843304335883349,0.9729841873172503,1.5833333333333333
geo.protodata,1,0.14620366310250615,0.9209114569501248,1.1625615763546797
geo.protodata,2,0.13956724120484365,0.9239142570056939,1.155
geo.protodata,3,0.13630384187270214,0.9228661147587782,1.1526315789473685
geo.protodata,4,0.1327706007353189,0.9742590186250851,0.6912442396313364
geo.protodata,5,0.13032515937531622,0.9964539007092199,0.655
geo.protodata,6,0.12833507606165886,1.0062148760330578,0.5869565217391305
geo.protodata,7,0.12720511350220934,1.0,0.5828220858895705
geo.protodata,8,0.13008904779572975,1.0306654195617317,2.3529411764705883
geo.protodata,9,0.1289169224542112,1.0213789417423838,2.689655172413793
tulip_PNG9011,1,0.12622495674709527,0.8715776042555868,0.5684931506849316
tulip_PNG9011,2,0.12313755497299418,0.8808096510253284,0.47794117647058826
tulip_PNG9011,3,0.12070537207908694,0.9070910264434361,0.3446808510638298
tulip_PNG9011,4,0.11813915235368025,0.9717727907686214,0.4787234042553192
tulip_PNG9011,5,0.115295099001816,0.992822604593309,0.33125
tulip_PNG9011,6,0.11310821652283734,1.0003510306490038,0.22413793103448276
tulip_PNG9011,7,0.1106311377970201,0.9934153252899419,0.24242424242424243
tulip_PNG9011,8,0.10584029706726111,0.9924830838880516,0.25
tulip_PNG9011,9,0.0997728531171046,0.9504800748780442,0.2
